symbol,name,timestamp,trade_date,trade_time,open,high,low,close,volume,amount
QQQ.US,纳指 100 ETF - Invesco,921042000000,1999-03-10,1999-03-10 00:00:00,102.25,102.3126,100.5626,102.125,5232000,0.0
QQQ.US,纳指 100 ETF - Invesco,921128400000,1999-03-11,1999-03-11 00:00:00,102.875,103.4688,100.625,102.625,9688600,0.0
QQQ.US,纳指 100 ETF - Invesco,921214800000,1999-03-12,1999-03-12 00:00:00,102.25,102.3126,99.3126,100.125,8743600,0.0
QQQ.US,纳指 100 ETF - Invesco,921474000000,1999-03-15,1999-03-15 00:00:00,100.875,103.125,99.8126,103.0,6369000,0.0
QQQ.US,纳指 100 ETF - Invesco,921560400000,1999-03-16,1999-03-16 00:00:00,103.4376,104.3126,102.3126,103.875,4905800,0.0
QQQ.US,纳指 100 ETF - Invesco,921646800000,1999-03-17,1999-03-17 00:00:00,103.875,104.0,102.8126,103.125,3965000,0.0
QQQ.US,纳指 100 ETF - Invesco,921733200000,1999-03-18,1999-03-18 00:00:00,103.0,105.1876,102.9688,105.125,4848400,0.0
QQQ.US,纳指 100 ETF - Invesco,921819600000,1999-03-19,1999-03-19 00:00:00,106.5,106.5,102.375,102.4376,7160400,0.0
QQQ.US,纳指 100 ETF - Invesco,922078800000,1999-03-22,1999-03-22 00:00:00,102.875,103.125,101.0,101.1876,5024800,0.0
QQQ.US,纳指 100 ETF - Invesco,922165200000,1999-03-23,1999-03-23 00:00:00,100.625,101.0,97.4376,97.625,10962400,0.0
QQQ.US,纳指 100 ETF - Invesco,922251600000,1999-03-24,1999-03-24 00:00:00,98.5,101.0,97.0,100.9376,8447000,0.0
QQQ.US,纳指 100 ETF - Invesco,922338000000,1999-03-25,1999-03-25 00:00:00,102.5,104.625,101.8282,104.625,8133800,0.0
QQQ.US,纳指 100 ETF - Invesco,922424400000,1999-03-26,1999-03-26 00:00:00,103.75,104.9376,103.0626,103.5,8256200,0.0
QQQ.US,纳指 100 ETF - Invesco,922683600000,1999-03-29,1999-03-29 00:00:00,104.75,107.3126,104.125,107.25,5113800,0.0
QQQ.US,纳指 100 ETF - Invesco,922770000000,1999-03-30,1999-03-30 00:00:00,107.125,108.0,106.0626,106.5,4940600,0.0
QQQ.US,纳指 100 ETF - Invesco,922856400000,1999-03-31,1999-03-31 00:00:00,108.25,108.375,104.625,104.9376,8256600,0.0
QQQ.US,纳指 100 ETF - Invesco,922942800000,1999-04-01,1999-04-01 00:00:00,108.0,108.125,105.375,107.125,8715800,0.0
QQQ.US,纳指 100 ETF - Invesco,923284800000,1999-04-05,1999-04-05 00:00:00,108.8594,111.1562,108.1876,111.0,5697200,0.0
QQQ.US,纳指 100 ETF - Invesco,923371200000,1999-04-06,1999-04-06 00:00:00,110.875,112.4376,109.9376,111.2188,7522400,0.0
QQQ.US,纳指 100 ETF - Invesco,923457600000,1999-04-07,1999-04-07 00:00:00,112.25,112.5,107.6876,110.0626,11923600,0.0
QQQ.US,纳指 100 ETF - Invesco,923544000000,1999-04-08,1999-04-08 00:00:00,109.875,111.4688,107.625,110.9376,7952400,0.0
QQQ.US,纳指 100 ETF - Invesco,923630400000,1999-04-09,1999-04-09 00:00:00,110.75,111.875,110.4376,111.625,4946800,0.0
QQQ.US,纳指 100 ETF - Invesco,923889600000,1999-04-12,1999-04-12 00:00:00,109.0,111.625,108.875,110.875,10934000,0.0
QQQ.US,纳指 100 ETF - Invesco,923976000000,1999-04-13,1999-04-13 00:00:00,111.5626,111.8126,108.5,109.375,9962200,0.0
QQQ.US,纳指 100 ETF - Invesco,924062400000,1999-04-14,1999-04-14 00:00:00,110.75,110.875,105.0156,105.625,21253800,0.0
QQQ.US,纳指 100 ETF - Invesco,924148800000,1999-04-15,1999-04-15 00:00:00,106.0,107.2344,102.25,107.0626,17650600,0.0
QQQ.US,纳指 100 ETF - Invesco,924235200000,1999-04-16,1999-04-16 00:00:00,106.8126,106.8126,103.375,103.9376,17274000,0.0
QQQ.US,纳指 100 ETF - Invesco,924494400000,1999-04-19,1999-04-19 00:00:00,104.625,105.5,98.0156,99.0626,19460600,0.0
QQQ.US,纳指 100 ETF - Invesco,924580800000,1999-04-20,1999-04-20 00:00:00,98.625,102.125,97.6876,101.3126,17413600,0.0
QQQ.US,纳指 100 ETF - Invesco,924667200000,1999-04-21,1999-04-21 00:00:00,102.25,106.375,100.875,106.3126,10940400,0.0
QQQ.US,纳指 100 ETF - Invesco,924753600000,1999-04-22,1999-04-22 00:00:00,107.3126,109.5,106.6094,109.1876,13630600,0.0
QQQ.US,纳指 100 ETF - Invesco,924840000000,1999-04-23,1999-04-23 00:00:00,108.625,111.4376,107.5,110.625,7064400,0.0
QQQ.US,纳指 100 ETF - Invesco,925099200000,1999-04-26,1999-04-26 00:00:00,111.375,114.0,111.0156,113.1718,5421000,0.0
QQQ.US,纳指 100 ETF - Invesco,925185600000,1999-04-27,1999-04-27 00:00:00,114.0,114.5626,110.0156,111.4376,16482800,0.0
